,base,GenSR,Sublex_Score
16792,l-a-d-bj-e-d,l-a-d-b-d-a,0.0076224937920776
16801,b-u-d-o-b-d,b-u-d-b-d-a,3.3305557759e-06
16802,d-o-v,d-v-a,0.6666666666666666
16810,dj-e-v,d-v-a,0.4736710083541193
17034,l-u-dj-e-v,l-u-d-v-a,0.4736710083541193
17035,k-u-d-o-v,k-u-d-v-a,0.6666666666666666
17036,p-u-d-o-v,p-u-d-v-a,0.6666666666666666
17037,sj-i-dj-e-v,sj-i-d-v-a,0.4736710083541193
17254,xj-i-dj-e-v,xj-i-d-v-a,0.4736710083541193
17255,sj-i-d-o-v,sj-i-d-v-a,0.6666666666666666
17904,bj-i-d-o-v,bj-i-d-v-a,0.6666666666666666
17905,zh-a-dj-e-v,zh-a-d-v-a,0.4736710083541193
17906,sh-a-dj-e-v,sh-a-d-v-a,0.4736710083541193
18123,m-a-d-o-v,m-a-d-v-a,0.6666666666666666
18124,d-o-z,d-z-a,0.5007152736912269
18151,sj-i-dj-e-z,sj-i-d-z-a,0.6025256899065555
18152,zh-a-d-o-z,zh-a-d-z-a,0.6489160139412528
18160,dj-e-z,d-z-a,0.4600851154439829
18222,n-u-dj-e-z,n-u-d-z-a,0.6025256899065555
18223,m-a-dj-e-z,m-a-d-z-a,0.6025256899065555
18224,k-a-d-o-z,k-a-d-z-a,0.6489160139412528
18306,sh-a-dj-e-z,sh-a-d-z-a,0.6025256899065555
18307,rj-i-d-o-z-g,rj-i-d-z-g-a,1.78365257101e-05
18308,d-z-o-g,d-z-g-a,0.028855793601226597
18309,d-zj-e-g,d-z-g-a,0.0224665407688913
18310,sh-i-d-o-z-g,sh-i-d-z-g-a,1.78365257101e-05
18311,d-o-z-d,d-z-d-a,1.5403516146e-06
18365,p-u-d-zj-e-d,p-u-d-z-d-a,0.0076224937921944
18393,d-zj-e-zh,d-z-zh-a,3.39360075866e-05
18420,d-o-z-zh,d-z-zh-a,4.374059280220655e-10
18428,sh-i-d-o-z-zh,sh-i-d-z-zh-a,1.2688441668102231e-09
18456,sh-i-d-z-o-zh,sh-i-d-z-zh-a,6.77566924950068e-05
18492,gj-i-d-zj-e-zh,gj-i-d-z-zh-a,6.04278522298e-05
18493,x-a-d-o-z-zh,x-a-d-z-zh-a,1.2688441668102231e-09
18494,m-a-d-z-o-zh,m-a-d-z-zh-a,6.77566924950068e-05
18495,d-z-o-m,d-z-m-a,0.1100947281993388
18496,kj-i-d-o-z-m,kj-i-d-z-m-a,0.0001405101756992
18497,l-a-dj-e-z-m,l-a-d-z-m-a,
18498,d-zj-e-m,d-z-m-a,0.0749433119759473
18506,x-a-dj-e-z-m,x-a-d-z-m-a,
18507,sh-a-d-o-z-m,sh-a-d-z-m-a,0.0001405101756992
18516,l-u-d-zj-e-m,l-u-d-z-m-a,0.1260486401986252
18517,k-a-d-zj-e-n,k-a-d-z-n-a,0.4740233931270595
18518,d-z-o-n,d-z-n-a,0.47558048388563356
18526,sh-i-d-zj-e-n,sh-i-d-z-n-a,0.4740233931270595
