,GenSR,YerUR,translit,23-sfcost-prod,Sublex_Score
513,zh-d-a,zh-e_flt-d,zh-e-d,0.1,0.1937635731225528
514,zh-d-a,zh-o_flt-d,zh-o-d,0.16666666666666666,0.1937635731225528
515,rj-i-zh-d-a,rj-i-zh-o_flt-d,rj-i-zh-o-d,0.25,0.1937635731225528
516,m-u-zh-d-a,m-u-zh-o_flt-d,m-u-zh-o-d,0.25,0.1937635731225528
517,k-u-zh-d-a,k-u-zh-o_flt-d,k-u-zh-o-d,0.1111111111111111,0.1937635731225528
518,zh-d-a,zh-e_flt-d,zh-e-d,0.1,0.1937635731225528
519,zh-d-a,zh-o_flt-d,zh-o-d,0.16666666666666666,0.1937635731225528
520,t-a-zh-d-a,t-a-zh-o_flt-d,t-a-zh-o-d,0.5,0.1937635731225528
521,zh-d-a,zh-o_flt-d,zh-o-d,0.16666666666666666,0.1937635731225528
522,zh-d-a,zh-o_flt-d,zh-o-d,0.16666666666666666,0.1937635731225528
523,zh-d-a,zh-e_flt-d,zh-e-d,0.1,0.1937635731225528
524,zh-d-a,zh-o_flt-d,zh-o-d,0.16666666666666666,0.1937635731225528
525,g-u-zh-d-a,g-u-zh-e_flt-d,g-u-zh-e-d,0.1,0.1937635731225528
526,zh-d-a,zh-o_flt-d,zh-o-d,0.16666666666666666,0.1937635731225528
527,zh-d-a,zh-o_flt-d,zh-o-d,0.16666666666666666,0.1937635731225528
528,z-u-zh-d-b-a,z-u-zh-d-e_flt-b,z-u-zh-dj-e-b,0.00045787545787545777,0.0080579939761529
529,zh-d-b-a,zh-e_flt-d-b,zh-e-d-b,9.162543522081733e-05,7.4907855862e-06
530,xj-i-zh-d-b-a,xj-i-zh-d-o_flt-b,xj-i-zh-d-o-b,0.0004930966469428008,0.009900640249756301
531,zh-d-b-a,zh-d-o_flt-b,zh-d-o-b,0.0005159958720330238,0.009900640249756301
532,zj-i-zh-d-b-a,zj-i-zh-d-e_flt-b,zj-i-zh-dj-e-b,0.00047824007651841216,0.0080579939761529
533,l-u-zh-d-v-a,l-u-zh-d-o_flt-v,l-u-zh-d-o-v,0.003759398496240602,0.09453019474785701
534,k-u-zh-d-v-a,k-u-zh-d-e_flt-v,k-u-zh-dj-e-v,0.003125000000000001,0.0664836167240414
535,zh-d-v-a,zh-d-o_flt-v,zh-d-o-v,0.003759398496240602,0.09453019474785701
536,zh-d-v-a,zh-d-e_flt-v,zh-dj-e-v,0.003663003663003664,0.0664836167240414
537,zh-d-v-a,zh-d-o_flt-v,zh-d-o-v,0.003759398496240602,0.09453019474785701
538,zh-d-v-a,zh-e_flt-d-v,zh-e-d-v,0.0007215007215007216,0.0001451401696522
539,x-a-zh-d-v-a,x-a-zh-d-e_flt-v,x-a-zh-dj-e-v,0.004385964912280702,0.0664836167240414
540,l-u-zh-d-v-a,l-u-zh-d-e_flt-v,l-u-zh-dj-e-v,0.003663003663003664,0.0664836167240414
541,zh-d-z-a,zh-e_flt-d-z,zh-e-d-z,8.151952392598027e-05,8.6476683251e-06
542,zh-i-zh-d-z-a,zh-i-zh-d-o_flt-z,zh-i-zh-d-o-z,0.0005599104143337067,0.0641597038115909
543,zh-d-z-a,zh-e_flt-d-z,zh-e-d-z,8.151952392598027e-05,8.6476683251e-06
544,zh-d-z-a,zh-d-e_flt-z,zh-dj-e-z,0.0005455537370430989,0.0567326430314545
545,zh-d-z-a,zh-o_flt-d-z,zh-o-d-z,8.183306055646483e-05,8.2673768625e-06
546,xj-i-zh-d-z-a,xj-i-zh-d-e_flt-z,xj-i-zh-dj-e-z,0.0005208333333333332,0.0567326430314545
547,zh-d-z-a,zh-o_flt-d-z,zh-o-d-z,8.183306055646483e-05,8.2673768625e-06
548,zh-d-r-a,zh-d-o_flt-r,zh-d-o-r,0.009259259259259259,0.42924929057707795
549,r-a-zh-d-r-a,r-a-zh-o_flt-d-r,r-a-zh-o-d-r,0.0020576131687242804,0.0014293713871383
550,zh-d-r-a,zh-e_flt-d-r,zh-e-d-r,0.0013605442176870743,0.0014764083313308
551,l-u-zh-d-r-a,l-u-zh-d-e_flt-r,l-u-zh-dj-e-r,0.009009009009009009,0.307890495697784
552,x-a-zh-d-r-a,x-a-zh-d-e_flt-r,x-a-zh-dj-e-r,0.01388888888888889,0.307890495697784
553,zh-d-r-a,zh-o_flt-d-r,zh-o-d-r,0.0013661202185792343,0.0014293713871383
554,g-u-zh-d-r-a,g-u-zh-e_flt-d-r,g-u-zh-e-d-r,0.0013605442176870743,0.0014764083313308
555,l-a-zh-d-r-a,l-a-zh-d-e_flt-r,l-a-zh-dj-e-r,0.01388888888888889,0.307890495697784
556,m-a-zh-d-r-a,m-a-zh-o_flt-d-r,m-a-zh-o-d-r,0.0020576131687242804,0.0014293713871383
557,zh-d-r-a,zh-d-e_flt-r,zh-dj-e-r,0.009009009009009009,0.307890495697784
558,zh-d-r-a,zh-d-o_flt-r,zh-d-o-r,0.009259259259259259,0.42924929057707795
559,k-a-zh-z-a,k-a-zh-e_flt-z,k-a-zh-e-z,0.125,0.2126350638860378
560,zh-z-a,zh-e_flt-z,zh-e-z,0.03333333333333334,0.2126350638860378
561,zh-z-a,zh-e_flt-z,zh-e-z,0.03333333333333334,0.2126350638860378
562,zh-z-a,zh-e_flt-z,zh-e-z,0.03333333333333334,0.2126350638860378
563,zh-z-a,zh-o_flt-z,zh-o-z,0.03333333333333334,0.2126350638860378
564,zh-z-a,zh-o_flt-z,zh-o-z,0.03333333333333334,0.2126350638860378
565,zh-z-a,zh-o_flt-z,zh-o-z,0.03333333333333334,0.2126350638860378
566,lj-i-zh-z-a,lj-i-zh-e_flt-z,lj-i-zh-e-z,0.05,0.2126350638860378
567,sj-i-zh-z-a,sj-i-zh-e_flt-z,sj-i-zh-e-z,0.05,0.2126350638860378
568,b-a-zh-z-a,b-a-zh-o_flt-z,b-a-zh-o-z,0.125,0.2126350638860378
569,zh-z-a,zh-o_flt-z,zh-o-z,0.03333333333333334,0.2126350638860378
570,zh-u-zh-z-g-a,zh-u-zh-z-e_flt-g,zh-u-zh-zj-e-g,0.0003101736972704714,0.0247467764773673
571,gj-i-zh-z-g-a,gj-i-zh-z-e_flt-g,gj-i-zh-zj-e-g,0.0003101736972704714,0.0247467764773673
572,zh-z-g-a,zh-e_flt-z-g,zh-e-z-g,6.478781988986069e-05,1.24438245996e-05
573,zh-z-g-a,zh-z-e_flt-g,zh-zj-e-g,0.00029949086552860134,0.0247467764773673
574,zh-z-g-a,zh-z-o_flt-g,zh-z-o-g,0.00030525030525030525,0.0287964751408274
575,p-u-zh-z-g-a,p-u-zh-z-o_flt-g,p-u-zh-z-o-g,0.00031625553447185326,0.0287964751408274
576,b-u-zh-z-g-a,b-u-zh-z-o_flt-g,b-u-zh-z-o-g,0.00032786885245901634,0.0287964751408274
577,zh-z-g-a,zh-e_flt-z-g,zh-e-z-g,6.478781988986069e-05,1.24438245996e-05
578,zh-z-g-a,zh-o_flt-z-g,zh-o-z-g,6.478781988986069e-05,1.20643416814e-05
579,zh-z-g-a,zh-z-e_flt-g,zh-zj-e-g,0.00029949086552860134,0.0247467764773673
580,p-u-zh-z-g-a,p-u-zh-z-o_flt-g,p-u-zh-z-o-g,0.00031625553447185326,0.0287964751408274
581,zh-z-g-a,zh-z-e_flt-g,zh-zj-e-g,0.00029949086552860134,0.0247467764773673
